grupos,sub-grupos
91,4
76,0
45,2
82,1
105,4
89,5
45,2
91,4
76,0
107,2
38,0
91,4
105,4
45,2
38,0
27,1
111,5
94,0
107,0
68,2
91,4
12,0
0,0
107,2
94,1
27,1
91,4
111,5
68,2
39,0
93,0
48,0
68,2
27,1
111,5
107,2
111,5
68,2
83,2
45,2
105,4
45,2
111,5
112,1
39,0
71,0
113,2
84,0
9,0
1,0
60,1
108,1
2,0
3,0
72,1
57,1
113,2
108,1
57,1
72,1
58,0
108,1
53,1
4,0
78,0
3,0
13,0
54,0
28,1
45,2
17,1
105,0
89,5
17,1
105,4
28,1
72,1
105,4
113,2
58,0
72,1
25,2
39,0
28,1
76,0
45,0
3,1
43,0
17,1
60,1
86,0
69,0
35,3
35,3
83,2
30,0
74,3
38,0
74,4
74,4
83,2
76,0
12,0
67,0
65,3
53,1
105,4
54,0
68,2
83,2
83,2
65,3
37,0
89,5
5,0
64,2
76,0
105,4
54,0
64,2
76,0
12,0
54,0
89,5
45,2
107,2
68,2
45,2
19,0
54,0
89,0
12,0
89,5
89,5
65,0
76,0
54,0
76,0
66,3
105,4
13,0
25,2
68,2
111,0
83,2
109,0
31,1
4,0
91,4
34,0
9,0
76,0
42,0
42,0
114,2
19,0
24,0
54,0
110,3
43,0
61,1
6,0
79,0
24,0
23,0
2,0
25,2
79,0
54,0
43,0
79,0
68,2
54,0
17,1
62,0
9,0
32,1
7,0
113,2
23,0
24,0
109,0
9,0
34,1
19,0
0,0
38,0
0,0
83,2
91,4
91,4
68,0
94,1
32,1
107,0
68,2
39,0
91,0
64,0
83,2
76,0
12,0
27,1
38,0
105,4
105,4
111,5
0,0
107,2
53,1
45,2
68,2
64,1
27,1
45,2
45,2
45,2
105,4
44,0
68,2
8,0
83,2
36,1
54,0
54,0
12,0
45,1
91,4
48,0
48,0
41,0
45,2
57,1
50,0
28,1
72,1
72,1
113,2
60,1
50,0
17,1
58,0
83,2
28,1
84,0
28,1
108,1
2,0
100,2
113,2
3,0
56,1
91,4
108,1
108,1
113,2
3,0
72,1
28,1
100,2
76,0
40,0
71,0
39,0
78,0
71,0
28,1
113,0
113,2
9,0
2,0
60,0
60,1
33,0
10,0
35,0
35,0
86,2
17,0
11,0
30,2
74,1
74,1
74,0
30,1
105,4
12,0
45,2
53,1
37,0
67,2
105,4
54,0
54,0
45,2
54,0
83,0
64,2
65,3
107,2
105,4
83,2
54,0
12,0
65,1
64,2
12,0
89,5
67,2
45,2
105,4
76,0
65,3
107,2
65,3
38,0
83,2
91,4
36,1
45,2
36,1
64,2
54,0
54,0
65,0
45,2
13,0
91,4
25,0
79,0
13,0
21,0
109,0
114,2
13,0
25,2
32,1
23,0
54,0
24,0
31,1
68,2
21,1
91,4
109,0
34,1
43,0
59,1
25,1
25,2
25,0
36,0
42,0
114,2
110,3
42,0
24,0
105,4
24,0
110,3
21,1
32,1
14,0
28,2
114,2
13,0
79,0
83,2
110,3
15,0
12,0
107,2
68,2
77,0
0,0
45,2
68,2
8,0
36,1
107,2
38,0
91,4
107,2
38,0
27,1
68,2
75,0
91,4
91,4
27,1
111,5
16,0
45,2
94,1
105,4
64,2
0,0
111,5
68,2
91,4
68,2
27,1
38,0
107,2
94,0
91,1
53,1
68,2
93,0
68,2
27,1
54,0
76,0
111,5
91,4
71,0
44,1
68,2
56,1
28,1
72,1
68,2
51,0
9,0
2,0
3,0
54,0
28,1
54,0
108,1
57,1
84,0
56,1
17,1
100,0
41,0
105,1
51,0
17,1
38,0
58,0
31,1
39,0
17,1
45,2
28,0
56,1
72,1
17,1
83,2
28,1
56,1
57,1
110,3
18,0
110,3
71,0
113,2
113,2
27,0
35,1
75,0
35,1
86,1
35,3
30,2
74,1
74,3
30,2
76,0
111,5
54,0
31,0
67,2
67,2
105,4
12,0
105,4
111,5
114,2
54,0
65,3
68,2
54,0
12,0
65,2
65,3
111,5
38,0
89,5
89,5
53,1
105,4
65,3
105,4
89,5
105,4
111,5
53,1
12,0
76,0
27,1
12,0
105,4
68,2
105,4
105,4
67,2
89,5
12,0
9,0
25,2
76,0
109,0
4,0
109,0
66,0
34,1
13,0
68,2
13,0
36,1
33,0
110,3
23,0
19,0
105,4
91,4
28,1
20,0
21,1
80,1
24,0
80,1
9,0
109,0
60,1
109,0
22,0
110,3
43,0
23,0
54,2
24,0
110,0
91,2
25,2
24,0
79,0
54,0
26,1
32,0
110,1
68,2
77,0
91,4
91,4
12,0
81,0
91,4
60,1
0,0
27,1
91,4
89,5
91,4
48,0
107,2
27,1
75,0
12,0
38,0
91,4
68,2
38,0
60,1
76,0
105,4
12,0
107,0
64,2
38,0
27,2
107,2
68,2
91,4
54,0
6,1
107,2
89,5
38,0
38,0
48,0
8,0
27,1
91,4
105,4
94,1
0,0
83,2
3,0
72,0
9,1
60,1
91,4
72,1
113,2
72,1
28,1
109,0
78,0
71,0
9,0
29,0
3,0
9,0
28,1
93,0
108,1
54,0
4,0
3,0
109,0
91,4
83,2
60,1
69,0
105,4
58,0
84,0
113,2
31,1
109,0
58,0
0,1
108,1
56,1
41,0
51,0
3,0
54,0
111,1
113,2
60,1
78,0
35,3
35,2
86,2
35,3
75,0
30,2
81,1
74,4
74,3
38,0
65,0
45,2
68,2
45,2
76,0
45,2
65,3
83,2
31,1
53,1
53,1
105,4
12,0
54,0
83,2
89,5
45,2
38,0
105,4
65,0
37,0
105,4
83,2
12,0
76,0
89,5
68,2
91,4
89,5
12,0
53,1
53,1
32,1
54,0
54,0
91,4
66,3
107,2
38,0
105,4
13,0
43,0
110,3
43,0
12,0
109,0
22,0
25,2
32,1
19,0
114,2
91,4
110,2
25,3
13,0
33,0
15,1
43,0
23,2
80,0
79,0
22,0
109,0
31,1
19,0
25,2
23,0
25,2
105,4
43,0
34,1
91,3
23,1
24,0
23,0
114,0
55,0
25,2
54,0
114,2
33,0
15,2
15,0
15,0
68,2
35,10
35,1
83,2
35,3
35,1
74,1
74,3
74,1
74,3
74,3
54,0
65,3
54,0
111,5
65,3
68,2
12,0
66,3
54,0
111,2
38,0
54,0
12,0
36,1
67,2
37,0
0,0
53,1
45,2
76,0
105,4
66,3
69,0
105,4
105,2
36,1
89,5
53,1
83,1
105,4
76,0
37,0
66,3
65,3
12,0
38,0
66,3
68,2
53,1
38,0
107,2
64,2
105,4
27,2
91,4
38,0
91,4
91,4
39,0
58,0
91,4
91,4
64,2
91,4
91,4
112,1
91,4
64,2
27,2
27,1
105,4
94,1
12,0
48,0
91,4
76,0
39,0
91,4
94,0
38,0
12,0
39,0
54,0
91,4
68,2
111,3
12,0
0,0
45,2
67,2
77,0
77,0
27,1
54,0
38,0
113,2
100,0
108,1
84,0
28,1
60,1
60,1
83,2
56,1
3,0
17,1
28,1
56,1
109,0
44,1
60,1
59,1
31,1
39,0
50,0
68,2
56,1
72,1
72,1
113,2
3,0
3,0
110,3
72,1
40,1
40,1
72,1
58,0
17,2
3,0
45,2
78,0
59,1
43,0
113,2
56,1
72,1
41,0
17,1
3,0
61,0
61,1
2,0
13,0
25,2
51,0
25,0
32,1
78,0
54,0
77,0
110,3
31,1
34,1
42,0
62,1
109,0
110,3
66,1
62,1
42,0
25,2
42,0
12,0
76,0
25,2
109,0
110,0
54,0
68,2
113,2
110,3
31,2
54,2
109,0
43,0
9,0
109,0
6,0
59,1
44,1
54,0
15,0
21,1
26,0
86,2
35,3
35,4
82,1
35,0
30,2
105,4
30,2
89,1
74,3
105,4
83,2
105,4
66,3
112,0
45,2
111,5
76,0
89,5
36,1
67,2
54,0
76,0
12,0
45,2
83,2
12,0
54,0
65,3
76,0
105,4
111,5
65,3
83,2
105,4
105,4
83,2
0,0
12,0
111,5
111,5
37,0
67,2
107,2
53,1
53,1
54,0
65,3
54,0
45,2
48,0
46,0
105,4
32,1
111,5
49,0
91,4
64,2
8,0
77,0
107,2
107,2
105,4
45,2
38,0
93,0
39,0
68,2
45,2
105,4
60,1
31,1
39,0
69,0
94,1
68,2
107,2
76,0
94,0
27,1
89,5
65,3
105,4
39,0
47,0
12,0
105,4
45,2
45,2
48,0
111,5
105,4
107,2
49,0
91,4
105,4
66,3
113,2
110,3
3,0
3,2
39,0
54,0
12,0
17,2
56,0
108,1
58,0
107,2
91,4
60,1
56,1
2,0
72,1
78,0
28,1
9,0
3,0
72,1
71,0
54,0
108,1
50,0
72,1
84,0
113,2
45,3
51,0
9,0
17,1
60,1
91,4
45,2
41,0
107,1
84,0
50,0
60,1
113,1
59,0
54,0
32,1
83,2
55,1
113,2
32,1
114,2
23,2
43,0
72,1
52,0
54,0
80,0
13,0
91,4
4,0
114,2
108,0
13,0
13,0
6,0
113,2
32,1
32,1
110,3
34,1
91,4
4,0
24,0
42,0
114,2
114,2
25,2
31,1
32,1
55,1
38,0
91,4
114,1
42,0
91,3
54,0
54,0
110,3
80,0
35,3
68,1
86,2
86,2
35,3
74,1
74,3
74,3
74,4
74,4
94,1
54,0
89,5
54,0
67,2
38,0
54,0
105,4
91,4
53,0
12,0
53,1
53,1
83,2
65,0
89,5
76,0
65,3
38,0
89,2
54,0
105,4
54,0
38,0
65,3
111,5
76,0
89,5
38,0
67,1
66,3
111,5
65,0
83,2
76,0
54,0
105,4
105,4
54,0
54,0
8,0
105,4
111,5
45,2
69,0
27,1
27,1
54,0
111,5
112,1
38,0
12,0
94,1
107,2
105,4
94,1
45,2
60,1
12,0
68,2
111,5
69,0
36,1
89,5
111,5
0,0
68,2
12,0
69,0
91,4
38,0
31,1
94,1
76,0
105,4
64,2
48,0
53,2
12,0
111,5
48,0
38,0
39,1
105,4
38,0
113,2
55,1
108,1
71,0
109,0
84,0
56,1
39,0
32,1
17,1
57,0
71,0
56,1
43,0
12,0
57,1
57,1
41,0
17,1
3,0
57,1
54,0
17,1
17,1
50,0
17,1
84,0
113,2
84,0
42,0
58,0
56,1
84,0
51,0
59,1
60,1
17,3
31,1
59,1
2,1
41,0
12,1
57,1
53,3
60,1
54,0
61,1
54,0
110,3
25,2
43,0
73,0
51,0
54,2
32,1
4,0
19,0
13,0
23,0
33,0
105,4
54,0
110,3
42,0
110,3
13,0
109,0
43,0
54,0
80,1
21,1
15,0
45,4
66,2
13,0
62,1
54,0
68,2
42,0
110,3
110,3
62,1
110,3
109,0
61,1
4,0
19,0
34,2
31,1
23,0
54,1
35,0
35,3
63,0
35,3
74,3
30,2
30,2
74,4
74,3
36,1
69,0
31,1
111,5
89,5
107,2
65,3
75,0
12,0
45,2
38,0
89,5
83,2
38,0
65,3
38,0
64,2
89,5
89,5
107,2
76,0
12,0
105,4
38,0
67,2
54,0
67,2
65,3
89,5
66,3
66,3
45,2
54,0
67,2
105,4
54,0
105,4
54,0
83,2
68,2
64,2
48,0
12,0
12,0
91,4
60,1
105,4
68,2
82,0
94,1
0,0
8,0
107,2
68,2
38,0
27,2
75,0
111,5
69,0
48,0
111,5
32,1
91,4
39,0
107,2
105,4
68,2
8,0
91,4
105,4
64,2
38,0
91,4
111,5
70,0
36,1
105,4
45,2
105,4
12,0
38,0
57,1
39,0
91,4
105,4
50,0
109,0
45,2
3,0
17,1
17,1
12,0
71,0
60,1
4,1
54,0
78,0
57,1
72,1
60,1
100,1
53,4
108,1
113,2
17,1
72,1
17,1
3,0
42,0
100,2
71,0
51,0
71,0
108,1
113,2
17,1
60,1
91,4
72,1
60,1
33,0
105,4
50,0
113,2
2,0
77,0
43,0
51,0
113,2
109,0
45,2
55,1
23,0
54,0
110,3
110,3
33,0
55,0
22,3
32,1
48,0
4,0
54,0
66,4
24,0
19,0
91,4
54,0
25,2
72,1
54,2
25,2
23,0
23,0
111,4
55,1
33,0
77,0
23,0
80,1
23,2
24,0
110,3
19,0
42,0
42,0
73,0
54,0
51,0
54,0
34,1
110,3
114,2
13,0
13,0
35,1
35,1
35,5
35,6
69,0
74,2
74,3
74,3
74,3
74,3
83,2
67,2
66,3
54,0
38,0
64,2
105,4
89,5
76,0
38,0
66,3
83,2
54,0
105,4
91,4
65,3
12,0
75,0
89,5
77,0
68,2
83,2
12,0
83,2
111,5
89,3
45,2
89,5
76,0
105,4
37,0
83,2
54,0
65,0
89,5
12,0
54,0
38,0
89,5
76,0
105,4
38,0
12,0
68,2
111,5
45,2
68,2
94,1
53,1
12,0
91,4
93,0
53,2
68,3
107,2
76,0
91,4
64,2
65,3
27,1
94,1
45,2
91,4
48,1
45,2
91,4
91,4
12,0
27,1
39,0
105,4
83,2
89,4
0,0
0,0
0,0
105,4
68,2
38,0
64,3
12,0
38,0
91,4
32,1
91,4
72,1
41,0
71,0
76,0
17,1
39,0
54,0
59,1
28,1
113,2
83,2
113,2
17,1
84,0
2,0
110,3
31,1
60,1
77,0
0,0
109,0
113,2
41,0
100,2
108,1
83,2
78,0
17,1
56,2
84,0
109,0
71,0
60,1
28,1
49,0
50,0
17,1
17,1
72,1
12,2
54,0
12,0
76,0
42,0
105,4
110,3
59,1
111,5
109,0
71,1
36,1
43,0
91,4
62,1
56,1
32,1
25,2
42,0
32,1
61,1
34,1
32,1
24,0
76,0
54,0
36,2
33,0
114,2
32,1
15,2
114,2
113,2
24,0
25,2
109,0
76,0
36,1
13,0
54,0
79,0
59,1
80,1
27,3
91,2
113,2
24,0
109,0
114,2
105,4
91,4
86,2
35,7
86,2
35,8
35,3
74,4
74,1
81,1
74,3
74,4
54,0
65,0
105,4
12,0
45,2
82,1
76,0
45,2
65,0
65,3
54,0
91,4
105,4
45,2
76,0
68,2
111,5
54,0
53,1
66,3
54,0
45,2
45,2
65,0
113,2
31,1
83,2
66,3
69,0
53,1
65,3
89,5
36,1
105,4
76,0
111,5
12,0
53,2
12,0
83,2
105,4
27,1
8,0
64,2
76,0
64,2
45,2
45,2
89,5
38,0
38,0
69,0
77,0
91,4
112,1
91,4
38,0
112,1
76,0
105,4
0,0
45,2
105,4
8,0
107,2
12,0
64,2
105,4
91,4
64,2
68,2
91,4
48,0
83,2
107,2
111,5
111,5
27,1
113,2
64,2
111,5
93,0
39,0
93,0
64,2
68,2
28,1
57,1
60,1
57,1
60,1
72,1
17,1
83,2
41,0
72,1
113,2
105,1
108,1
58,0
2,0
12,0
100,2
40,2
109,0
68,2
110,3
113,2
84,0
108,1
72,2
31,1
69,0
84,0
91,4
72,1
60,1
109,0
59,1
105,4
84,0
17,1
60,1
55,1
91,4
108,1
56,1
12,0
72,3
105,4
109,0
25,2
